#Read position (bp)	Clipping profile
0.0	6.633980817741966
1.0	0.729522271589903
2.0	0.7240513853723319
3.0	0.717643867256961
4.0	0.7109238321197532
5.0	0.7038324532271859
6.0	0.697373461719983
7.0	0.6903767571016781
8.0	0.6833653457999928
9.0	0.6766094631220447
10.0	0.669806702890821
11.0	0.6628752591800174
12.0	0.6561671732230563
13.0	0.6493552213147198
14.0	0.642606691978462
15.0	0.6356044723538895
16.0	0.6288715688687235
17.0	0.6223344481060613
18.0	0.6158818907728375
19.0	0.615097840715111
20.0	0.6150436098201452
21.0	0.6152568567291633
22.0	0.6152320392009586
23.0	0.6153055726178615
24.0	0.6149700764032423
25.0	0.6147154669472162
26.0	0.6147163861149276
27.0	0.61478256619014
28.0	0.614727416127463
29.0	0.6147228202889066
30.0	0.8980902764979645
31.0	1.0242901649220344
32.0	0.9888204021112399
33.0	0.9546383932639566
34.0	0.9190344319673147
35.0	0.9436644499589195
36.0	0.9462077870160466
37.0	0.9082443222045348
38.0	0.8712864268691692
39.0	0.852296421954012
40.0	0.8149065177943424
41.0	0.7911340832773667
42.0	0.772725911523453
43.0	0.7779605716392236
44.0	0.7722874685251698
45.0	0.7791288338002675
46.0	0.7607316920588891
47.0	0.7736312917190692
48.0	0.7365189762082078
49.0	0.7199096156652797
50.0	0.7166281869359906
51.0	0.7102464055165357
52.0	0.691532150914764
53.0	0.6878279050382836
54.0	0.6896542912806078
55.0	0.6900394225516364
56.0	0.6816281188256632
57.0	0.6791739410365311
58.0	0.6765377680405644
59.0	0.6763962162130264
60.0	0.6745238715851379
61.0	0.6819093841453165
62.0	0.680947934719312
63.0	0.680033362846583
64.0	0.6833809716510846
65.0	0.6880466669535695
66.0	0.6918051437250158
67.0	0.6983615670096149
68.0	0.695914742562173
69.0	0.6917242569664226
70.0	0.6865824327894918
71.0	0.6784955952656024
72.0	0.6689675027704174
73.0	0.6638183252517964
74.0	0.6586452493726819
75.0	0.6548261075322909
76.0	0.6509986931824981
77.0	0.6476060451601435
78.0	0.6442713047036
79.0	0.6430414583059
80.0	0.6393997158337871
81.0	0.6410312385213187
82.0	0.6357561350262515
83.0	0.6327743549708416
84.0	0.6287631070787918
85.0	0.6279092002750076
86.0	0.6234806502420343
87.0	0.6201569397980261
88.0	0.6160436642900238
89.0	0.6121528273681524
90.0	0.6084375514791366
91.0	0.6044235460839531
92.0	0.601315840052097
93.0	0.5975509291066717
94.0	0.5930644715078874
95.0	0.5893225397552444
96.0	0.5850667932519927
97.0	0.580942487731455
98.0	0.5775388096965649
99.0	0.573224236459791
100.0	0.5699519994076148
101.0	0.5647816810316341
102.0	0.5609496708432851
103.0	0.5567931944528524
104.0	0.5526845147834063
105.0	0.5482807822786377
106.0	0.5446951090369132
107.0	0.540820817133845
108.0	0.5366137865192915
109.0	0.533186210123908
110.0	0.5294019966565459
111.0	0.525821838421089
112.0	0.5218445997343568
113.0	0.5184050741587267
114.0	0.5140629258906142
115.0	0.5104156684122335
116.0	0.506472438930819
117.0	0.5024648677096144
118.0	0.4989481320462363
119.0	0.4955297473279657
120.0	0.4922731361268813
121.0	0.4892463168536183
122.0	0.48693552922744676
123.0	0.4846468016263459
124.0	0.4824398799515496
125.0	0.4801980299037244
126.0	0.47756277607546893
127.0	0.47506723573932896
128.0	0.47232903512740965
129.0	0.4697599613743668
130.0	0.4671191925398437
131.0	0.4643727194185227
132.0	0.4623284904286239
133.0	0.4620113775682304
134.0	0.4615196228426927
135.0	0.4609773138930343
136.0	0.46033573483055706
137.0	0.4595544422759644
138.0	0.4586214870490097
139.0	0.45763246259166657
140.0	0.4564403020701293
141.0	0.4551488714357732
142.0	0.4546185116663616
143.0	0.4538675516462414
144.0	0.45318552920446753
145.0	0.4524069941530088
146.0	0.4517580617488412
147.0	0.45052453868029607
148.0	0.4461281595172178
149.0	0.4279102554795402
150.0	0.36777278880097825
