#Position (bp)	insert size
3127391.0	19.68735307945463
9382172.0	19.63161875945537
1.5636953E7	19.699831365935918
2.1891734E7	19.832904884318765
2.8146515E7	19.69626998223801
3.4401296E7	19.6390134529148
4.0656077E7	19.78501628664495
4.6910858E7	19.620833333333334
5.3165639E7	19.6514745308311
5.942042E7	19.724025974025974
6.5675201E7	19.877805486284288
7.1929982E7	19.736238532110093
7.8184763E7	19.644257703081234
8.4439544E7	19.81764705882353
9.0694325E7	19.52922077922078
9.6949106E7	19.919454770755888
1.03203887E8	19.637931034482758
1.09458668E8	19.544
1.15713449E8	19.580865603644646
1.2196823E8	19.736725663716815
1.28223011E8	19.652173913043477
1.34477792E8	19.70557029177719
1.40732573E8	19.695195195195197
1.46987354E8	19.719553072625697
1.53242135E8	19.82846715328467
1.59496916E8	19.736383442265794
1.65751697E8	19.52122641509434
1.72006478E8	19.68877551020408
1.78261259E8	19.85759493670886
1.8451604E8	19.72211350293542
1.90770821E8	19.708333333333332
1.97025602E8	19.528
2.03280383E8	19.783098591549297
2.09535164E8	19.85034013605442
2.15789945E8	19.791666666666668
2.22044726E8	19.758474576271187
2.28299507E8	20.18013856812933
2.34554288E8	19.49537037037037
2.40809069E8	19.744837758112094
2.4706385E8	19.651442307692307
2.53318631E8	19.588483146067414
2.59573412E8	19.69406392694064
2.65828193E8	19.6762360446571
2.71643058E8	19.72076612903226
2.747704485E8	19.728476821192054
2.78337755E8	19.757060734816296
2.84592536E8	19.60485502360081
2.90847317E8	19.753012048192772
2.97102098E8	19.828080229226362
3.03356879E8	19.709624796084828
3.0961166E8	19.920833333333334
3.15866441E8	19.581358609794627
3.22121222E8	19.587719298245613
3.28376003E8	19.63422818791946
3.34630784E8	19.758193091231178
3.40885565E8	19.88385269121813
3.47140346E8	19.728424864212432
3.53395127E8	19.77771855010661
3.59649908E8	19.505681818181817
3.65904689E8	19.958041958041957
3.7215947E8	19.823741007194243
3.78414251E8	19.80701754385965
3.84669032E8	19.653846153846153
3.90923813E8	19.588688946015424
3.97178594E8	19.682926829268293
4.03433375E8	19.748826291079812
4.09688156E8	19.673276676109538
4.15942937E8	19.76094890510949
4.22197718E8	19.57467853610287
4.257958175E8	19.66794380587484
4.28923208E8	19.635846372688476
4.3470728E8	19.734281780633317
4.40962061E8	19.655312246553123
4.47216842E8	19.756804214223003
4.53471623E8	19.67090216010165
4.59726404E8	19.554162936436885
4.65981185E8	19.714163090128757
4.72235966E8	19.641237113402063
4.78490747E8	19.767857142857142
4.84745528E8	19.698433420365536
4.91000309E8	19.63235294117647
4.9725509E8	19.572274881516588
5.03509871E8	19.746724890829693
5.09764652E8	19.816062176165804
5.16019433E8	19.61694915254237
5.22274214E8	19.699876998769987
5.28528995E8	19.662337662337663
5.34783776E8	19.696887686062247
5.41038557E8	19.641752577319586
5.47293338E8	19.639372822299652
5.53548119E8	19.73829927488464
5.578954745E8	19.699646643109542
5.61022865E8	19.753804017041997
5.66057681E8	19.624247635425622
5.72312462E8	19.544159544159545
5.78567243E8	19.597523219814242
5.84822024E8	19.706422018348626
5.91076805E8	19.63855421686747
5.97331586E8	19.784711388455538
6.03586367E8	19.823529411764707
6.09841148E8	19.593220338983052
6.16095929E8	19.856060606060606
6.2235071E8	19.65461847389558
6.28605491E8	19.83269230769231
6.34860272E8	19.79219512195122
6.41115053E8	19.539033457249072
6.47369834E8	19.745819397993312
6.53624615E8	19.64063969896519
6.59879396E8	19.726752503576538
6.66134177E8	19.710500490677134
6.72388958E8	19.89513108614232
6.78643739E8	19.550185873605948
6.8489852E8	19.596464258262873
6.890261325E8	19.616319444444443
6.92153523E8	19.63464959089292
6.97408082E8	19.717427385892115
7.03662863E8	19.733788395904437
7.09917644E8	19.634858044164037
7.16172425E8	19.621776504297994
7.22427206E8	19.52238805970149
7.28681987E8	19.66885964912281
7.34936768E8	19.768229166666668
7.41191549E8	19.651898734177216
7.4744633E8	19.758024691358024
7.53701111E8	19.683870967741935
7.59955892E8	19.71599045346062
7.66210673E8	19.696428571428573
7.72465454E8	19.79513888888889
