#GC Content (%)	Sample
1.0	2.823901502315599E-4
2.0	8.754094657178358E-4
3.0	6.21258330509432E-4
4.0	4.5182424037049594E-4
5.0	2.541511352084039E-4
6.0	1.1295606009262397E-4
7.0	1.9767310516209197E-4
8.0	1.4119507511577996E-4
9.0	1.6943409013893597E-4
10.0	1.9767310516209197E-4
11.0	8.471704506946798E-5
12.0	8.471704506946798E-5
13.0	5.6478030046311986E-5
14.0	1.4119507511577996E-4
15.0	1.1295606009262397E-4
16.0	1.1295606009262397E-4
17.0	8.471704506946798E-5
18.0	1.1295606009262397E-4
19.0	1.9767310516209197E-4
20.0	8.471704506946798E-5
21.0	1.1295606009262397E-4
22.0	5.6478030046311986E-5
23.0	2.2591212018524797E-4
24.0	2.541511352084039E-4
25.0	3.1062916525471593E-4
26.0	1.1295606009262397E-4
27.0	2.2591212018524797E-4
28.0	1.9767310516209194E-4
29.0	3.953462103241839E-4
30.0	4.518242403704959E-4
31.0	3.6710719530102793E-4
32.0	5.647803004631198E-4
33.0	3.9534621032418394E-4
34.0	5.93019315486276E-4
35.0	8.189314356715238E-4
36.0	8.18931435671524E-4
37.0	9.8836552581046E-4
38.0	0.0013554727211114875
39.0	0.0012142776459957076
40.0	0.0015813848412967357
41.0	0.0016943409013893598
42.0	0.0018920140065514517
43.0	0.0022308821868293237
44.0	0.0019484920365977635
45.0	0.0024850333220377274
46.0	0.0024567943070145713
47.0	0.003332203772732407
48.0	0.0035298768778944992
49.0	0.003416920817801875
50.0	0.004066418163334463
51.0	0.004320569298542867
52.0	0.004320569298542867
53.0	0.004828871568959675
54.0	0.0062973003501637865
55.0	0.006212583305094318
56.0	0.00669264656048797
57.0	0.006777363605557437
58.0	0.009234157912572009
59.0	0.007793968146391054
60.0	0.009798938213035131
61.0	0.010843781768891902
62.0	0.010307240483451937
63.0	0.01177566926465605
64.0	0.01471252682706427
65.0	0.012933468880605443
66.0	0.013695922286230656
67.0	0.015164351067434767
68.0	0.01643510674347679
69.0	0.01872246696035242
70.0	0.01592680447305998
71.0	0.01691516999887044
72.0	0.018214164689935617
73.0	0.01810120862984299
74.0	0.01807296961481984
75.0	0.0164915847735231
76.0	0.015390263187620016
77.0	0.013695922286230656
78.0	0.013272337060883314
79.0	0.010617869648706653
80.0	0.00881057268722467
81.0	0.007257426860951089
82.0	0.005817237094770135
83.0	0.004490003388681803
84.0	0.003388681802778719
85.0	0.0035016378628713427
86.0	0.0035298768778944992
87.0	0.003755788998079747
88.0	0.006071388229978538
89.0	0.007991641251553147
90.0	0.01008132836326669
91.0	0.012001581384841297
92.0	0.02021913475657969
93.0	0.0332373206822546
94.0	0.05291991415339433
95.0	0.08923528747317294
96.0	0.12043939907376032
97.0	0.08615723483564891
98.0	0.06040325313453067
99.0	0.04634022365299899
100.0	0.024313791934937313
